first_name,last_name,your_school,purchased_school,your_position,purchased_position
Julius,Brown,TCU,Texas Christian University,Cornerbacks Coach,Assistant Coach (Cornerbacks)
Sonny,Dykes,TCU,Texas Christian University,Head Coach,Head Coach
Malcolm,Kelly,TCU,Texas Christian University,Assistant Head Coach / Wide Receivers Coach,Assistant Head Coach (Wide Receivers)
Mitch,Kirsch,TCU,Texas Christian University,Tight Ends Coach,Assistant Coach (Tight Ends)
JaMarkus,McFarland,TCU,Texas Christian University,Defensive Line Coach,Assistant Coach (Defensive Line)
Brad,Robbins,TCU,University of Tulsa,Quarterbacks Coach,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Tre,Watson,TCU,Texas Christian University,Safeties/Nickels Coach / Passing Game Coordinator,"Assistant Coach (Safeties, Nickelbacks, Defensive Passing-Game Coordinator)"
Ken,Wilson,TCU,Texas Christian University,Linebackers Coach,Assistant Coach (Linebackers)
Jimmy,Beal,UCF,University of Central Florida,Running Backs,Assistant Coach (Running Backs)
Sean,Beckton Sr.,UCF,University of Central Florida,Associate Head Coach/Wide Receivers,Associate Head Coach (Wide Receivers)
Steve,Cooper,UCF,University of Central Florida,Offensive Coordinator,"Assistant Coach (Offensive Coordinator, Tight Ends)"
Mark,D'Onofrio,UCF,University of Central Florida,Linebackers,Assistant Coach (Linebackers)
Mike,Dawson,UCF,University of Central Florida,Defensive Run Game Coordinator/Edge Coach,"Assistant Coach (Edge Rushers, Defensive Running-Game Coordinator)"
Scott,Frost,UCF,University of Central Florida,Head Coach,Head Coach
Alex,Grinch,UCF,University of Central Florida,Defensive Coordinator/Safeties,"Assistant Coach (Defensive Coordinator, Safeties)"
Will,Johnson,UCF,North Dakota State University,Defensive Backs,Assistant Coach (Cornerbacks)
Kenny,Martin,UCF,University of Central Florida,Defensive Tackles,Assistant Coach (Defensive Tackles)
McKenzie,Milton,UCF,University of Central Florida,Quarterbacks,Assistant Coach (Quarterbacks)
Kevin,McGiven,Utah,Utah State University,Offensive Coordinator,Assistant Coach (Offensive Coordinator)
Larry,Knight,West Virginia,Arkansas State University,Edges/Pass Rush Specialist,"Assistant Coach (Defensive Ends, Defensive Running-Game Coordinator)"
Rick,Trickett,West Virginia,Jacksonville State University,Offensive Line Coach,Assistant Coach (Offensive Line)
Spencer,Treadwell,Idaho,Eastern Illinois University,Running Backs Coach,"Recruiting Coordinator, Assistant Coach (Running Backs)"
Trenton,Greene,Northern Arizona,Montana State University,Defensive Coordinator/Safeties Coach,Assistant Coach (Cornerbacks)
Kiante,Goudeau,Portland State,Montana State University,Cornerbacks Coach,Assistant Coach (Defensive Backs)
Dominick,Mazotti,Portland State,Mercyhurst University,Tight Ends Coach,Assistant Coach (Offense)
Otis,Amey,Sacramento State,California State University - Sacramento,Director of Player Development/Alumni Relations,Director of Player Development
Milo,Austin,Sacramento State,California State University - Sacramento,Special Teams Coordinator,Assistant Coach (Special Teams)
Josh,Brown,Sacramento State,California State University - Sacramento,Safeties/Def. Pass Game Coordinator,"Assistant Coach (Safeties, Defensive Passing-Game Coordinator)"
Alonzo,Carter,Sacramento State,California State University - Sacramento,Head Coach,Head Coach
Adam,Clark,Sacramento State,California State University - Sacramento,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Bobby,Fresques,Sacramento State,California State University - Sacramento,Quarterbacks/Passing Game Coordinator/Camp Coordinator,"Assistant Coach (Quarterbacks, Passing-Game Coordinator)"
Eric,Kiesau,Sacramento State,California State University - Sacramento,Offensive Coordinator,Assistant Coach (Offensive Coordinator)
Angus,McClure,Sacramento State,California State University - Sacramento,Associate Head Coach/Recruiting Coordinator/Offensive Line,Associate Head Coach (Offensive Line)
Dakari,Monroe,Sacramento State,University of Arizona,Cornerbacks,Assistant Coach (Defense)
Jon,Osterhout,Sacramento State,California State University - Sacramento,General Manager,General Manager
Chris,Parry,Sacramento State,California State University - Sacramento,Assistant GM/Pro Liaison,Assistant General Manager
CJ,Pollard,Sacramento State,California State University - Sacramento,Director of Recruiting,Director of Recruiting (second email)
Kris,Richardson,Sacramento State,California State University - Sacramento,Run Game Coordinator/Offensive Line,"Assistant Coach (Offensive Line, Running-Game Coordinator)"
Eric,Scott,Sacramento State,California State University - Sacramento,Co-Offensive Coordinator/Wide Receivers,Assistant Coach (Wide Receivers)
Kenwick,Thompson,Sacramento State,California State University - Sacramento,Assistant Head Coach/Co-Defensive Coordinator/Linebackers,"Assistant Head Coach (Linebackers, Co-Defensive Coordinator)"
Jerry,Brady,UC Davis,University of California - Davis,Jane and Fred Arp Defensive Line Coach,Assistant Coach (Defensive Line)
Kevin,Burke,UC Davis,University of California - Davis,Assistant Coach (Running Backs),Assistant Coach (Running Backs)
Taylor,Chapatte,UC Davis,University of California - Davis,Special Teams Coordinator (Tight Ends),"Assistant Coach (Tight Ends, Special Teams)"
Mike,Cody,UC Davis,University of California - Davis,Assistant Coach (Offensive Line),Assistant Coach (Offensive Line)
Matt,Coombs,UC Davis,University of California - Davis,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Evan,Hicks,UC Davis,University of California - Davis,Assistant Coach (Safeties),Assistant Coach (Safeties)
DuMaurier,Jordan,UC Davis,University of California - Davis,Assistant Coach (Cornerbacks),Assistant Coach (Cornerbacks)
Tim,Plough,UC Davis,University of California - Davis,Head Coach,Head Coach
Stiles,Satterlee,UC Davis,University of California - Davis,Assistant Coach (Offense),Assistant Coach (Offense)
Paul,Shelton,UC Davis,University of California - Davis,Offensive Coordinator,Assistant Coach (Offensive Coordinator)
Trey,Shimabukuro,UC Davis,University of California - Davis,Assistant Coach (Wide Receivers),Assistant Coach (Wide Receivers)
Austin,Taylor,UC Davis,University of California - Davis,Assistant Coach (Inside Linebackers),Assistant Coach (Inside Linebackers)
Gavin,Fowler,Weber State,Brigham Young University,Defensive Coordinator/Safeties,Assistant Coach (Safeties)
Tana,Vea,Weber State,San Diego State University,Assistant Coach/Running Backs/Recruiting Coordinator,Recruiting Coordinator (second email)
Chip,Lindsey,Michigan,University of Missouri,Offensive Coordinator / Quarterbacks Coach,Assistant Coach (Offensive Coordinator)
Ted,Flaherty,Michigan State,University of Dayton,Assistant Secondary Coach,Assistant Coach (Defensive Backs)
Josh,Robinson,Michigan State,Northern Arizona University,Assistant Special Teams Coordinator,Assistant Coach (Special Teams)
Dominic,Spalding,Michigan State,University of Notre Dame,Assistant Wide Receivers Coach,Assistant Coach (Wide Receivers)
Daniel,Da Prato,Minnesota,University of New Mexico,Special Teams Coordinator,Associate Head Coach (Special Teams)
Isaac,Fruechte,Minnesota,University of North Dakota,Wide Receivers Coach,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Mohamed,Ibrahim,Minnesota,Kent State University,Running Backs Coach,Assistant Coach (Running Backs)
Travis,Moore,Minnesota,Northern Illinois University,Assistant Defensive Line Coach,Assistant Coach (Defensive Line)
